=~=~=~=~=~=~=~=~=~=~=~= PuTTY	log 202	1.01.31 19:15:32 =~=~	=~=~=~=~=~=~=~=~=~=
64.74	7.81	132	126.25
64.74	7.83	131	126.25
64.74	7.66	134	90.22
64.85	7.66	136	90.22
64.74	7.78	131	90.22
64.74	7.81	132	90.22
64.74	7.84	132	90.22
64.74	7.83	131	90.22
64.85	7.81	134	90.22
64.85	7.81	131	90.22
64.85	7.66	132	90.22
64.85	7.64	132	90.22
64.85	7.66	132	90.22
64.85	7.67	131	90.22
64.85	7.83	131	90.22
64.96	7.78	134	53.98
64.85	7.66	134	53.98
64.85	7.83	132	53.98
64.85	7.62	132	53.98
64.85	7.66	131	53.98
64.96	7.69	136	126.25
64.96	7.66	134	90.22
64.85	7.83	132	126.25
64.85	7.83	132	406.37
64.96	7.83	132	406.37
64.85	7.84	132	268.1
64.85	7.64	134	197.62
64.85	7.78	131	268.1
64.85	7.83	134	337.68
64.96	7.69	136	574.16
64.85	7.62	132	830.98
64.85	7.62	132	892.94
64.96	7.78	132	954.01
64.96	7.79	132	1102.75
65.07	7.66	122	1189.31
65.07	7.83	127	1189.31
65.07	7.83	124	1273.85
65.07	7.83	122	1301.58
65.07	7.84	124	1383.44
65.07	7.81	125	1383.44
65.07	7.81	124	1410.27
65.07	7.81	122	1217.71
65.07	7.6	124	1102.75
65.07	7.62	124	1073.45
65.07	7.62	125	1073.45
65.07	7.62	124	1043.92
65.07	7.6	122	1245.89
65.07	7.62	124	1245.89
65.19	7.62	124	1273.85
65.19	7.6	122	1273.85
65.19	7.64	122	1301.58
65.19	7.62	122	1329.09
65.19	7.74	124	1301.58
65.19	7.78	125	1245.89
65.07	7.81	122	1189.31
65.19	7.83	124	1102.75
65.19	7.84	127	1073.45
65.19	7.69	124	984.2
65.3	7.6	124	892.94
65.19	7.83	124	954.01
65.19	7.79	120	862.07
65.07	7.64	124	799.66
65.07	7.6	125	736.35
65.19	7.81	122	704.36
65.07	7.83	122	639.71
65.19	7.62	127	574.16
65.19	7.83	122	541.05
65.19	7.6	125	474.16
65.19	7.81	124	440.37
65.19	7.59	122	474.16
65.3	7.69	124	372.14
65.3	7.59	125	303
65.19	7.81	124	268.1
65.3	7.6	122	197.62
