=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 23:42:18 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
69.24                            7.16           134                 2992.64
69.24                            7.14           134                 2991.47
69.24                            7.16           132                 2991.47
69.24                            7.04           131                 2990.25
69.24                            7.01           132                 2993.75
69.24                            7.09           134                 2992.64
69.24                            7.14           131                 2992.64
69.35                            7.13           132                 2991.47
69.24                            7.01           134                 2990.25
69.35                            7.01           131                 2990.25
69.35                            7.16           132                 2990.25
69.35                            7.11           132                 2991.47
69.24                            7.01           132                 2991.47
69.24                            7.01           134                 2991.47
69.24                            7.16           131                 2990.25
69.24                            7.16           131                 2988.98
69.35                            7.01           134                 2988.98
69.24                            7.01           132                 2988.98
69.24                            7.16           131                 2990.25
69.24                            7.14           132                 2990.25
69.24                            6.99           131                 2988.98
69.35                            7.01           132                 2987.65
69.24                            7.16           132                 2987.65
69.24                            7.16           132                 2988.98
69.24                            7.11           134                 2990.25
69.24                            7.01           134                 2990.25
69.24                            7.01           132                 2990.25
69.24                            7.01           134                 2987.65
69.24                            7.16           131                 2987.65
69.35                            7.16           134                 2987.65
69.35                            7.14           134                 2988.98
69.35                            7.08           134                 2988.98
69.35                            7.01           134                 2988.98
69.24                            7.01           134                 2987.65
69.24                            7.13           132                 2987.65
69.35                            7.16           131                 2987.65
69.35                            7.14           134                 2988.98
69.24                            7.01           131                 2988.98
69.24                            7.01           132                 2988.98
69.35                            7.14           131                 2987.65
69.35                            7.13           134                 2986.27
69.35                            7.01           132                 2987.65
69.35                            6.99           131                 2988.98
69.35                            6.99           132                 2988.98
69.35                            7.02           134                 2986.27
69.35                            7.14           131                 2984.84
69.35                            7.14           134                 2984.84
69.35                            6.99           131                 3000.03
69.35                            7.01           132                 2999.29
69.35                            7.14           131                 2997.66
69.35                            7.14           131                 2998.50
69.46                            6.99           134                 2999.29
69.35                            7.01           132                 2999.29
69.35                            7.14           132                 2998.50
69.35                            7.14           132                 2998.50
69.46                            6.99           134                 2998.50
69.35                            7.02           134                 2999.29
69.35                            7.16           132                 3000.03
69.35                            7.01           131                 2999.29
69.24                            7.01           134                 2998.50
69.24                            6.99           134                 2997.66
69.35                            7.16           134                 2998.50
69.35                            7.16           131                 3001.06
69.35                            7.01           131                 2998.93
69.35                            7.14           134                 2999.69
69.35                            7.02           131                 2998.12
6
