=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.02.01 00:42:51 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
67.77                            7.16           166                 2967.57
67.77                            7.02           166                 2969.53
67.77                            6.99           168                 2973.31
67.77                            7.16           166                 2969.53
67.77                            7.16           169                 2965.54
67.77                            6.99           169                 2969.53
67.89                            7.02           164                 2971.45
67.77                            7.16           168                 2967.57
67.77                            7.14           166                 2965.54
67.77                            6.96           166                 2969.53
67.77                            6.97           169                 2971.45
67.77                            7.08           166                 2965.54
67.77                            7.16           166                 2967.57
67.77                            7.08           164                 2971.45
67.89                            6.97           164                 2969.53
67.77                            7.08           166                 2965.54
67.89                            7.13           166                 2965.54
67.89                            6.97           169                 2969.53
67.77                            7.04           168                 2971.45
67.77                            7.16           166                 2965.54
67.77                            7.14           164                 2965.54
67.89                            6.97           166                 2969.53
67.77                            6.97           168                 2971.45
67.77                            7.16           168                 2967.57
67.77                            7.16           168                 2963.47
67.77                            7.14           169                 2961.34
67.77                            6.96           168                 2969.53
67.77                            6.97           166                 2969.53
67.77                            7.04           166                 2963.47
67.77                            7.16           164                 2965.54
67.77                            6.97           168                 2971.45
67.89                            6.99           169                 2965.54
67.77                            7.09           166                 2965.54
67.89                            7.18           166                 2969.53
67.77                            7.18           168                 2963.47
67.89                            7.14           168                 2967.57
67.89                            6.97           166                 2967.57
67.89                            6.99           164                 2961.34
67.77                            6.99           166                 2969.53
67.89                            7.16           168                 2965.54
67.89                            7.02           168                 2961.34
67.89                            6.97           168                 2965.54
67.89                            7.18           164                 2967.57
67.77                            7.16           168                 2961.34
67.89                            7.11           166                 2961.34
67.89                            6.97           166                 2965.54
67.89                            7.16           166                 2967.57
67.77                            7.16           166                 2961.34
67.89                            6.97           166                 2959.16
67.89                            6.97           168                 2963.47
67.77                            6.97           169                 2967.57
67.89                            7.16           166                 2963.47
67.89                            7.16           168                 2961.34
67.77                            6.97           166                 2961.34
67.89                            6.99           168                 2965.54
67.89                            7.16           166                 2967.57
67.77                            7.16           168                 2961.34
67.77                            7.16           166                 2961.34
67.89                            7.09           166                 2965.54
67.77                            6.97           166                 2965.54
67.89                            7.01           169                 2956.92
67.77                            7.16           164                 2963.47
67.77                            7.18           169                 2965.54
67.89                            7.14           166                 2959.16
67.77                            6.97           168                 2959.16
67.77                            6.97           169                 2963.47
67.89                            6.97           168                 2963.47
67.89                            6.97           166                 2961.34
67.89                            7.16           164                 2959.16
67.89                            7.16           168                 2961.34
67.89                            6.97           168                 2965.54
67.89                            6.97           168                 2965.54
67.89                            7.16           166                 2961.34
67.89                            7.14           166                 2956.92
67.89                            6.96           164                 2956.92
67.89                            6.97           169                 2954.63
67.77                            6.97           166                 2959.16
67.89                            7.13           168                 2961.34
67.89                            7.16           166                 2963.47
67.77                            7.16           168                 2963.47
67.89                            7.11           166                 2959.16
67.89                            6.97           166                 2956.92
67.89                            6.97           169                 2954.63
67.89                            7.16           166                 2956.92
67.89                            7.16           166                 2959.16
67.89                            7.13           168                 2963.47
67.89                            6.97           168                 2956.92
