=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 16:51:19 =~=~=~=~=~=~=~=~=~=~=~=
7       Thursday) 4:50:48          74.64                 6.94               6               0.45
2021/3/11 (Thursday) 4:50:49          
Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 4:51:29          74.75                 6.94               4               0.62
2021/3/11 (Thursday) 4:51:30          74.86                 6.94               8               0.54
2021/3/11 (Thursday) 4:51:31          74.75                 6.94               6               0.55
2021/3/11 (Thursday) 4:51:32          74.75                 6.92               10               0.63
2021/3/11 (Thursday) 4:51:33          74.75                 6.96               8               0.56
2021/3/11 (Thursday) 4:51:34          74.75                 6.92               4               0.64
2021/3/11 (Thursday) 4:51:35          74.75                 6.92               10               0.55
2021/3/11 (Thursday) 4:51:36          74.64                 6.96               4               0.64
2021/3/11 (Thursday) 4:51:37          74.75                 6.90               10               0.57
2021/3/11 (Thursday) 4:51:38          74.64                 6.97               6               0.55
2021/3/11 (Thursday) 4:51:39          74.75                 6.94               12               0.63
2021/3/11 (Thursday) 4:51:40          74.64                 6.96               6               0.54
2021/3/11 (Thursday) 4:51:41          74.75                 6.92               4               0.62
2021/3/11 (Thursday) 4:51:42          74.75                 6.96               10               0.55
2021/3/11 (Thursday) 4:51:43          74.75                 6.94               6               0.64
2021/3/11 (Thursday) 4:51:44          74.75                 6.92               10               0.56
2021/3/11 (Thursday) 4:51:45          74.75                 6.96               4               0.65
2021/3/11 (Thursday) 4:51:46          74.75                 6.92               10               0.65
2021/3/11 (Thursday) 4:51:47          74.75                 6.94               6               0.57
2021/3/11 (Thursday) 4:51:48          74.75                 6.92               8               0.64
2021/3/11 (Thursday) 4:51:49          74.75                 6.94               8               0.55
2021/3/11 (Thursday) 4:51:50          74.75                 6.94               4               0.63
2021/3/11 (Thursday) 4:51:51          74.75                 6.94               8               0.55
2021/3/11 (Thursday) 4:51:52          74.75                 6.96               6               0.63
2021/3/11 (Thursday) 4:51:53          74.75                 6.92               8               0.56
2021/3/11 (Thursday) 4:51:54          74.75                 6.96               4               0.57
2021/3/11 (Thursday) 4:51:55          74.75                 6.92               8               0.65
2021/3/11 (Thursday) 4:51:56          74.75                 6.94               4               0.58
2021/3/11 (Thursday) 4:51:57          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 4:51:58          74.75                 6.96               12               0.57
2021/3/11 (Thursday) 4:51:59          74.64                 6.96               4               0.63
2021/3/11 (Thursday) 4:52:0          74.75                 6.94               12               0.55
2021/3/11 (Thursday) 4:52:1          74.75                 6.94               4               0.63
2021/3/11 (Thursday) 4:52:2          74.75                 6.94               10               0.63
2021/3/11 (Thursday) 4:52:3          74.75                 6.94               4               0.57
2021/3/11 (Thursday) 4:52:4          74.75                 6.94               6               0.64
2021/3/11 (Thursday) 4:52:5          74.75                 6.97               10               0.58
2021/3/11 (Thursday) 4:52:6          74.75                 6.90               6               0.63
2021/3/11 (Thursday) 4:52:7          74.86                 6.90               10               0.57
2021/3/11 (Thursday) 4:52:8          74.75                 6.96               6               0.63
2021/3/11 (Thursday) 4:52:9          74.75                 6.89               8               0.55
2021/3/11 (Thursday) 4:52:10          74.75                 6.94               4               0.55
2021/3/11 (Thursday) 4:52:11          74.75                 6.90               10               0.65
2021/3/11 (Thursday) 4:52:12          74.75                 6.96               10               0.58
2021/3/11 (Thursday) 4:52:13          74.75                 6.92               4               0.66
2021/3/11 (Thursday) 4:52:14          74.75                 6.97               12               0.56
2021/3/11 (Thursday) 4:52:15          74.75                 6.94               4               0.63
2021/3/11 (Thursday) 4:52:16          74.75                 6.94               10               0.55
2021/3/11 (Thursday) 4:52:17          74.64                 6.97               4               0.56
2021/3/11 (Thursday) 4:52:18          74.75                 6.94               8               0.64
2021/3/11 (Thursday) 4:52:19          74.75                 6.97               6               0.59
2021/3/11 (Thursday) 4:52:20          74.64                 6.90               2               0.65
2021/3/11 (Thursday) 4:52:21          74.75                 6.94               8               0.57
2021/3/11 (Thursday) 4:52:22          74.75                 6.92               4               0.63
2021/3/11 (Thursday) 4:52:23          74.75                 6.92               10               0.56
2021/3/11 (Thursday) 4:52:24          74.64                 6.94               6               0.65
2021/3/11 (Thursday) 4:52:25          74.64                 6.92               12               0.65
2021/3/11 (Thursday) 4:52:26          74.75                 6.94               8               0.58
2021/3/11 (Thursday) 4:52:27          74.75                 6.92               10               0.65
2021/3/11 (Thursday) 4:52:28          74.75                 6.96               10               0.57
2021/3/11 (Thursday) 4:52:29          74.75                 6.92               6               0.64
2021/3/11 (Thursday) 4:52:30          74.75                 6.92               12               0.57
2021/3/11 (Thursday) 4:52:31          74.75                 6.97               6               0.65
2021/3/11 (Thursday) 4:52:32          74.75                 6.94               12               0.57
2021/3/11 (Thursday) 4:52:33          74.64                 6.96               4               0.57
2021/3/11 (Thursday) 4:52:34          74.75                 6.90               10               0.65
2021/3/11 (Thursday) 4:52:35          74.75                 6.94               10               0.57
2021/3/11 (Thursday) 4:52:36          74.75                 6.92               6               0.65
2021/3/11 (Thursday) 4:52:37          74.75                 6.96               10               0.55
2021/3/11 (Thursday) 4:52:38          74.75                 6.96               4               0.64
2021/3/11 (Thursday) 4:52:39          74.75                 6.94               10               0.58
2021/3/11 (Thursday) 4:52:40          74.75                 6.94               6               0.66
2021/3/11 (Thursday) 4:52:41          74.75                 6.94               10               0.66
2021/3/11 (Thursday) 4:52:42          74.75                 6.94               4               0.57
2021/3/11 (Thursday) 4:52:43          74.75                 6.94               12               0.65
2021/3/11 (Thursday) 4:52:44          74.64                 6.96               12               0.56
2021/3/11 (Thursday) 4:52:45          74.64                 6.94               4               0.63
2021/3/11 (Thursday) 4:52:46          74.75                 6.96               8               0.55
2021/3/11 (Thursday) 4:52:47          74.75                 6.94               4               0.64
2021/3/11 (Thursday) 4:52:48          74.75                 6.92               10               0.66
2021/3/11 (Thursday) 4:52:49          74.64                 6.96               4               0.58
2021/3/11 (Thursday) 4:52:50          74.75                 6.90               10               0.66
2021/3/11 (Thursday) 4:52:51          74.75                 6.96               10               0.58
2021/3/11 (Thursday) 4:52:52          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 4:52:53          74.75                 6.96               8               0.57
2021/3/11 (Thursday) 4:52:54          74.64                 6.94               4               0.64
2021/3/11 (Thursday) 4:52:55          74.75                 6.92               10               0.57
2021/3/11 (Thursday) 4:52:56          74.64                 6.96               6               0.56
2021/3/11 (Thursday) 4:52:57          74.75                 6.90               10               0.64
2021/3/11 (Thursday) 4:52:58          74.75                 6.96               4               0.59
2021/3/11 (Thursday) 4:52:59          74.75                 6.92               4               0.65
2021/3/11 (Thursday) 4:53:0          74.75                 6.94               10               0.58
2021/3/11 (Thursday) 4:53:1          74.75                 6.94               6               0.65
2021/3/11 (Thursday) 4:53:2          74.75                 6.92               10               0.57
2021/3/11 (Thursday) 4:53:3          74.75                 6.97               4               0.65
2021/3/11 (Thursday) 4:53:4          74.75                 6.90               10               0.63
2021/3/11 (Thursday) 4:53:5          74.64                 6.97               6               0.56
2021/3/11 (Thursday) 4:53:6          74.75                 6.92               6               0.64
2021/3/11 (Thursday) 4:53:7          74.75                 6.96               10               0.57
2021/3/11 (Thursday) 4:53:8          74.75                 6.96               6               0.63
2021/3/11 (Thursday) 4:53:9          74.86                 6.92               10               0.57
2021/3/11 (Thursday) 4:53:10          74.75                 6.96               6               0.64
2021/3/11 (Thursday) 4:53:11          74.75                 6.92               12               0.56
2021/3/11 (Thursday) 4:53:12          74.75                 6.94               6               0.55
2021/3/11 (Thursday) 4:53:13          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 4:53:14          74.86                 6.96               12               0.53
2021/3/11 (Thursday) 4:53:15          74.75                 6.92               6               0.61
2021/3/11 (Thursday) 4:53:16          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:53:17          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:53:18          74.75                 6.94               12               0.53
2021/3/11 (Thursday) 4:53:19          74.64                 6.94               6               0.58
2021/3/11 (Thursday) 4:53:20          74.75                 6.92               10               0.62
2021/3/11 (Thursday) 4:53:21          74.64                 6.94               6               0.55
2021/3/11 (Thursday) 4:53:22          74.75                 6.92               4               0.63
2021/3/11 (Thursday) 4:53:23          74.75                 6.96               12               0.53
2021/3/11 (Thursday) 4:53:24          74.64                 6.90               6               0.62
2021/3/11 (Thursday) 4:53:25          74.75                 6.90               12               0.52
2021/3/11 (Thursday) 4:53:26          74.75                 6.94               6               0.60
2021/3/11 (Thursday) 4:53:27          74.75                 6.92               10               0.53
2021/3/11 (Thursday) 4:53:28          74.75                 6.96               4               0.53
2021/3/11 (Thursday) 4:53:29          74.75                 6.92               10               0.61
2021/3/11 (Thursday) 4:53:30          74.75                 6.97               10               0.53
2021/3/11 (Thursday) 4:53:31          74.75                 6.94               6               0.61
2021/3/11 (Thursday) 4:53:32          74.75                 6.92               10               0.55
2021/3/11 (Thursday) 4:53:33          74.75                 6.94               8               0.61
2021/3/11 (Thursday) 4:53:34          74.86                 6.92               8               0.52
2021/3/11 (Thursday) 4:53:35          74.75                 6.94               6               0.51
2021/3/11 (Thursday) 4:53:36          74.75                 6.90               10               0.59
2021/3/11 (Thursday) 4:53:37          74.75                 6.92               6               0.52
2021/3/11 (Thursday) 4:53:38          74.75                 6.90               8               0.61
2021/3/11 (Thursday) 4:53:39          74.75                 6.94               10               0.53
2021/3/11 (Thursday) 4:53:40          74.75                 6.94               8               0.60
2021/3/11 (Thursday) 4:53:41          74.75                 6.94               10               0.54
2021/3/11 (Thursday) 4:53:42          74.64                 6.94               6               0.61
2021/3/11 (Thursday) 4:53:43          74.75                 6.90               10               0.61
2021/3/11 (Thursday) 4:53:44          74.86                 6.96               4               0.54
2021/3/11 (Thursday) 4:53:45          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:53:46          74.75                 6.92               12               0.54
2021/3/11 (Thursday) 4:53:47          74.75                 6.90               6               0.62
2021/3/11 (Thursday) 4:53:48          74.75                 6.94               10               0.53
2021/3/11 (Thursday) 4:53:49          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:53:50          74.75                 6.94               12               0.53
2021/3/11 (Thursday) 4:53:51          74.75                 6.94               6               0.53
2021/3/11 (Thursday) 4:53:52          74.75                 6.92               10               0.59
2021/3/11 (Thursday) 4:53:53          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:53:54          74.75                 6.92               2               0.60
2021/3/11 (Thursday) 4:53:55          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:53:56          74.75                 6.96               4               0.61
2021/3/11 (Thursday) 4:53:57          74.86                 6.92               10               0.53
2021/3/11 (Thursday) 4:53:58          74.86                 6.96               6               0.53
2021/3/11 (Thursday) 4:53:59          74.86                 6.92               10               0.60
2021/3/11 (Thursday) 4:54:0          74.75                 6.94               4               0.53
2021/3/11 (Thursday) 4:54:1          74.75                 6.92               6               0.61
2021/3/11 (Thursday) 4:54:2          74.86                 6.92               10               0.52
2021/3/11 (Thursday) 4:54:3          74.75                 6.92               4               0.59
2021/3/11 (Thursday) 4:54:4          74.86                 6.90               6               0.52
2021/3/11 (Thursday) 4:54:5          74.86                 6.96               6               0.59
2021/3/11 (Thursday) 4:54:6          74.75                 6.90               12               0.59
2021/3/11 (Thursday) 4:54:7          74.75                 6.94               8               0.53
2021/3/11 (Thursday) 4:54:8          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 4:54:9          74.86                 6.96               8               0.54
2021/3/11 (Thursday) 4:54:10          74.86                 6.92               4               0.61
2021/3/11 (Thursday) 4:54:11          74.86                 6.92               10               0.53
2021/3/11 (Thursday) 4:54:12          74.86                 6.97               6               0.60
2021/3/11 (Thursday) 4:54:13          74.75                 6.90               10               0.52
2021/3/11 (Thursday) 4:54:14          74.64                 6.97               4               0.51
2021/3/11 (Thursday) 4:54:15          74.75                 6.92               10               0.60
2021/3/11 (Thursday) 4:54:16          74.75                 6.96               10               0.51
2021/3/11 (Thursday) 4:54:17          74.75                 6.94               6               0.60
2021/3/11 (Thursday) 4:54:18          74.75                 6.94               10               0.54
2021/3/11 (Thursday) 4:54:19          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:54:20          74.75                 6.90               10               0.53
2021/3/11 (Thursday) 4:54:21          74.75                 6.96               4               0.61
2021/3/11 (Thursday) 4:54:22          74.75                 6.90               10               0.60
2021/3/11 (Thursday) 4:54:23          74.75                 6.92               6               0.52
2021/3/11 (Thursday) 4:54:24          74.75                 6.94               4               0.59
2021/3/11 (Thursday) 4:54:25          74.75                 6.96               12               0.51
2021/3/11 (Thursday) 4:54:26          74.64                 6.90               6               0.59
2021/3/11 (Thursday) 4:54:27          74.75                 6.90               10               0.53
2021/3/11 (Thursday) 4:54:28          74.75                 6.96               4               0.60
2021/3/11 (Thursday) 4:54:29          74.75                 6.92               12               0.59
2021/3/11 (Thursday) 4:54:30          74.75                 6.96               4               0.54
2021/3/11 (Thursday) 4:54:31          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 4:54:32          74.75                 6.96               12               0.51
2021/3/11 (Thursday) 4:54:33          74.86                 6.90               6               0.60
2021/3/11 (Thursday) 4:54:34          74.86                 6.96               10               0.54
2021/3/11 (Thursday) 4:54:35          74.86                 6.97               6               0.59
2021/3/11 (Thursday) 4:54:36          74.75                 6.92               10               0.52
2021/3/11 (Thursday) 4:54:37          74.75                 6.97               4               0.52
2021/3/11 (Thursday) 4:54:38          74.86                 6.94               12               0.60
2021/3/11 (Thursday) 4:54:39          74.75                 6.94               4               0.53
2021/3/11 (Thursday) 4:54:40          74.75                 6.92               6               0.61
2021/3/11 (Thursday) 4:54:41          74.75                 6.96               12               0.52
2021/3/11 (Thursday) 4:54:42          74.75                 6.90               6               0.61
2021/3/11 (Thursday) 4:54:43          74.75                 6.92               10               0.52
2021/3/11 (Thursday) 4:54:44          74.75                 6.94               6               0.59
2021/3/11 (Thursday) 4:54:45          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 4:54:46          74.75                 6.94               6               0.52
2021/3/11 (Thursday) 4:54:47          74.86                 6.94               12               0.61
2021/3/11 (Thursday) 4:54:48          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:54:49          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:54:50          74.86                 6.92               10               0.52
2021/3/11 (Thursday) 4:54:51          74.86                 6.96               6               0.60
2021/3/11 (Thursday) 4:54:52          74.86                 6.94               12               0.51
2021/3/11 (Thursday) 4:54:53          74.75                 6.97               6               0.52
2021/3/11 (Thursday) 4:54:54          74.86                 6.90               12               0.59
2021/3/11 (Thursday) 4:54:55          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:54:56          74.75                 6.94               6               0.61
2021/3/11 (Thursday) 4:54:57          74.75                 6.94               8               0.54
2021/3/11 (Thursday) 4:54:58          74.86                 6.96               6               0.58
2021/3/11 (Thursday) 4:54:59          74.86                 6.92               12               0.52
2021/3/11 (Thursday) 4:55:0          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:55:1          74.86                 6.94               10               0.59
2021/3/11 (Thursday) 4:55:2          74.86                 6.94               6               0.53
2021/3/11 (Thursday) 4:55:3          74.75                 6.92               6               0.58
2021/3/11 (Thursday) 4:55:4          74.75                 6.94               12               0.53
2021/3/11 (Thursday) 4:55:5          74.86                 6.92               6               0.60
2021/3/11 (Thursday) 4:55:6          74.86                 6.92               12               0.54
2021/3/11 (Thursday) 4:55:7          74.86                 6.96               4               0.61
2021/3/11 (Thursday) 4:55:8          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 4:55:9          74.75                 6.94               4               0.53
2021/3/11 (Thursday) 4:55:10          74.75                 6.96               10               0.59
2021/3/11 (Thursday) 4:55:11          74.86                 6.94               8               0.51
2021/3/11 (Thursday) 4:55:12          74.75                 6.94               4               0.59
2021/3/11 (Thursday) 4:55:13          74.75                 6.92               12               0.53
2021/3/11 (Thursday) 4:55:14          74.86                 6.96               6               0.59
2021/3/11 (Thursday) 4:55:15          74.86                 6.92               8               0.51
2021/3/11 (Thursday) 4:55:16          74.75                 6.94               6               0.53
2021/3/11 (Thursday) 4:55:17          74.86                 6.92               8               0.60
2021/3/11 (Thursday) 4:55:18          74.86                 6.96               6               0.53
2021/3/11 (Thursday) 4:55:19          74.75                 6.92               8               0.61
2021/3/11 (Thursday) 4:55:20          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:55:21          74.86                 6.94               6               0.59
2021/3/11 (Thursday) 4:55:22          74.86                 6.92               10               0.51
2021/3/11 (Thursday) 4:55:23          74.75                 6.94               2               0.59
2021/3/11 (Thursday) 4:55:24          74.86                 6.90               8               0.59
2021/3/11 (Thursday) 4:55:25          74.75                 6.94               6               0.53
2021/3/11 (Thursday) 4:55:26          74.75                 6.90               8               0.59
2021/3/11 (Thursday) 4:55:27          74.75                 6.96               10               0.53
2021/3/11 (Thursday) 4:55:28          74.86                 6.92               6               0.61
2021/3/11 (Thursday) 4:55:29          74.86                 6.90               10               0.53
2021/3/11 (Thursday) 4:55:30          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:55:31          74.86                 6.92               10               0.52
2021/3/11 (Thursday) 4:55:32          74.86                 6.94               6               0.53
2021/3/11 (Thursday) 4:55:33          74.86                 6.92               12               0.59
2021/3/11 (Thursday) 4:55:34          74.86                 6.96               8               0.51
2021/3/11 (Thursday) 4:55:35          74.75                 6.92               6               0.59
2021/3/11 (Thursday) 4:55:36          74.86                 6.94               8               0.53
2021/3/11 (Thursday) 4:55:37          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:55:38          74.86                 6.94               8               0.54
2021/3/11 (Thursday) 4:55:39          74.86                 6.96               4               0.53
2021/3/11 (Thursday) 4:55:40          74.86                 6.90               8               0.60
2021/3/11 (Thursday) 4:55:41          74.75                 6.96               4               0.53
2021/3/11 (Thursday) 4:55:42          74.75                 6.92               8               0.59
2021/3/11 (Thursday) 4:55:43          74.75                 6.92               10               0.53
2021/3/11 (Thursday) 4:55:44          74.75                 6.94               6               0.59
2021/3/11 (Thursday) 4:55:45          74.75                 6.92               10               0.54
2021/3/11 (Thursday) 4:55:46          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:55:47          74.86                 6.92               10               0.54
2021/3/11 (Thursday) 4:55:48          74.86                 6.94               6               0.53
2021/3/11 (Thursday) 4:55:49          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 4:55:50          74.75                 6.94               12               0.51
2021/3/11 (Thursday) 4:55:51          74.75                 6.94               4               0.60
2021/3/11 (Thursday) 4:55:52          74.75                 6.94               10               0.53
2021/3/11 (Thursday) 4:55:53          74.86                 6.97               4               0.60
2021/3/11 (Thursday) 4:55:54          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:55:55          74.86                 6.96               4               0.53
2021/3/11 (Thursday) 4:55:56          74.97                 6.92               10               0.59
2021/3/11 (Thursday) 4:55:57          74.86                 6.96               4               0.53
2021/3/11 (Thursday) 4:55:58          74.86                 6.92               6               0.60
2021/3/11 (Thursday) 4:55:59          74.97                 6.92               10               0.51
2021/3/11 (Thursday) 4:56:0          74.86                 6.94               4               0.59
2021/3/11 (Thursday) 4:56:1          74.86                 6.89               12               0.53
2021/3/11 (Thursday) 4:56:2          74.86                 6.96               6               0.60
2021/3/11 (Thursday) 4:56:3          74.86                 6.92               10               0.60
2021/3/11 (Thursday) 4:56:4          74.75                 6.94               4               0.53
2021/3/11 (Thursday) 4:56:5          74.86                 6.92               6               0.61
2021/3/11 (Thursday) 4:56:6          74.86                 6.97               12               0.53
2021/3/11 (Thursday) 4:56:7          74.86                 6.94               6               0.60
2021/3/11 (Thursday) 4:56:8          74.86                 6.92               12               0.51
2021/3/11 (Thursday) 4:56:9          74.86                 6.94               6               0.59
2021/3/11 (Thursday) 4:56:10          74.86                 6.92               12               0.55
2021/3/11 (Thursday) 4:56:11          74.86                 6.96               6               0.53
2021/3/11 (Thursday) 4:56:12          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 4:56:13          74.86                 6.96               12               0.53
2021/3/11 (Thursday) 4:56:14          74.75                 6.94               4               0.61
2021/3/11 (Thursday) 4:56:15          74.97                 6.94               12               0.52
2021/3/11 (Thursday) 4:56:16          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 4:56:17          74.86                 6.90               10               0.52
2021/3/11 (Thursday) 4:56:18          74.86                 6.92               8               0.52
2021/3/11 (Thursday) 4:56:19          74.86                 6.90               8               0.59
2021/3/11 (Thursday) 4:56:20          74.86                 6.92               4               0.52
2021/3/11 (Thursday) 4:56:21          74.86                 6.92               8               0.60
2021/3/11 (Thursday) 4:56:22          74.86                 6.92               10               0.53
2021/3/11 (Thursday) 4:56:23          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:56:24          74.97                 6.94               10               0.54
2021/3/11 (Thursday) 4:56:25          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:56:26          74.97                 6.90               8               0.61
2021/3/11 (Thursday) 4:56:27          74.86                 6.94               4               0.51
2021/3/11 (Thursday) 4:56:28          74.86                 6.92               10               0.60
2021/3/11 (Thursday) 4:56:29          74.86                 6.94               8               0.53
2021/3/11 (Thursday) 4:56:30          74.86                 6.94               6               0.61
2021/3/11 (Thursday) 4:56:31          74.86                 6.92               10               0.55
2021/3/11 (Thursday) 4:56:32          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:56:33          74.86                 6.92               12               0.52
2021/3/11 (Thursday) 4:56:34          74.86                 6.92               6               0.53
2021/3/11 (Thursday) 4:56:35          74.86                 6.92               10               0.59
2021/3/11 (Thursday) 4:56:36          74.86                 6.96               10               0.52
2021/3/11 (Thursday) 4:56:37          74.86                 6.90               4               0.59
2021/3/11 (Thursday) 4:56:38          74.86                 6.92               6               0.53
2021/3/11 (Thursday) 4:56:39          74.75                 6.94               6               0.61
2021/3/11 (Thursday) 4:56:40          74.86                 6.92               12               0.53
2021/3/11 (Thursday) 4:56:41          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:56:42          74.86                 6.94               12               0.59
2021/3/11 (Thursday) 4:56:43          74.75                 6.97               8               0.53
2021/3/11 (Thursday) 4:56:44          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 4:56:45          74.86                 6.94               10               0.51
2021/3/11 (Thursday) 4:56:46          74.86                 6.94               4               0.60
2021/3/11 (Thursday) 4:56:47          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:56:48          74.86                 6.97               4               0.61
2021/3/11 (Thursday) 4:56:49          74.86                 6.90               10               0.61
2021/3/11 (Thursday) 4:56:50          74.86                 6.94               6               0.54
2021/3/11 (Thursday) 4:56:51          74.86                 6.90               12               0.59
2021/3/11 (Thursday) 4:56:52          74.86                 6.94               8               0.53
2021/3/11 (Thursday) 4:56:53          74.86                 6.92               6               0.59
2021/3/11 (Thursday) 4:56:54          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:56:55          74.86                 6.94               6               0.60
2021/3/11 (Thursday) 4:56:56          74.86                 6.90               12               0.54
2021/3/11 (Thursday) 4:56:57          74.86                 6.94               6               0.54
2021/3/11 (Thursday) 4:56:58          74.97                 6.90               8               0.61
2021/3/11 (Thursday) 4:56:59          74.86                 6.94               4               0.53
2021/3/11 (Thursday) 4:57:0          74.86                 6.90               6               0.60
2021/3/11 (Thursday) 4:57:1          74.86                 6.96               10               0.53
2021/3/11 (Thursday) 4:57:2          74.86                 6.90               6               0.59
2021/3/11 (Thursday) 4:57:3          74.97                 6.92               4               0.53
2021/3/11 (Thursday) 4:57:4          74.86                 6.96               6               0.61
2021/3/11 (Thursday) 4:57:5          74.86                 6.92               10               0.61
2021/3/11 (Thursday) 4:57:6          74.86                 6.96               4               0.54
2021/3/11 (Thursday) 4:57:7          74.97                 6.92               10               0.61
2021/3/11 (Thursday) 4:57:8          74.97                 6.96               10               0.51
2021/3/11 (Thursday) 4:57:9          74.86                 6.90               6               0.59
2021/3/11 (Thursday) 4:57:10          74.97                 6.92               8               0.51
2021/3/11 (Thursday) 4:57:11          74.86                 6.94               8               0.61
2021/3/11 (Thursday) 4:57:12          74.86                 6.92               10               0.53
2021/3/11 (Thursday) 4:57:13          74.86                 6.92               4               0.54
2021/3/11 (Thursday) 4:57:14          74.86                 6.92               10               0.61
2021/3/11 (Thursday) 4:57:15          74.86                 6.94               8               0.55
2021/3/11 (Thursday) 4:57:16          74.86                 6.92               4               0.59
2021/3/11 (Thursday) 4:57:17          74.97                 6.94               10               0.51
2021/3/11 (Thursday) 4:57:18          74.86                 6.96               6               0.59
2021/3/11 (Thursday) 4:57:19          74.86                 6.94               10               0.53
2021/3/11 (Thursday) 4:57:20          74.86                 6.94               6               0.59
2021/3/11 (Thursday) 4:57:21          74.86                 6.94               10               0.61
2021/3/11 (Thursday) 4:57:22          74.86                 6.96               6               0.55
