=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 21:04:26 =~=~=~=~=~=~=~=~=~=~=~=

Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
67.44                            7.52           131                 1566.58
67.44                            7.67           131                 1541.09
67.32                            7.66           131                 1541.09
67.32                            7.45           129                 1541.09
67.32                            7.45           131                 1541.09
67.44                            7.69           132                 1515.38
67.44                            7.59           132                 1489.44
67.44                            7.50           131                 1489.44
67.32                            7.69           131                 1515.38
67.32                            7.59           134                 1515.38
67.44                            7.66           132                 1489.44
67.32                            7.67           129                 1489.44
67.32                            7.50           129                 1489.44
67.32                            7.69           131                 1489.44
67.44                            7.64           134                 1489.44
67.32                            7.47           134                 1463.27
67.32                            7.47           132                 1463.27
67.32                            7.50           129                 1463.27
67.32                            7.47           132                 1489.44
67.44                            7.67           134                 1463.27
67.44                            7.67           132                 1436.88
67.44                            7.67           129                 1436.88
