=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 19:39:47 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
65.07                            7.76           122                 1273.85
65.07                            7.69           124                 1273.85
65.07                            7.60           124                 1245.89
65.07                            7.54           122                 1245.89
65.07                            7.55           122                 1245.89
65.07                            7.57           122                 1273.85
65.07                            7.35           125                 1273.85
65.19                            7.35           124                 1245.89
65.07                            7.33           122                 1273.85
65.07                            7.37           124                 1273.85
65.19                            7.33           124                 1273.85
65.19                            7.31           124                 1273.85
65.07                            7.28           122                 1273.85
65.19                            7.37           120                 1273.85
65.19                            7.31           120                 1273.85
65.19                            7.57           125                 1273.85
65.19                            7.57           124                 1273.85
65.19                            7.62           122                 1273.85
65.07                            7.60           122                 1273.85
65.19                            7.62           124                 1273.85
65.07                            7.64           122                 1273.85
65.19                            7.64           124                 1245.89
65.07                            7.59           122                 1245.89
65.19                            7.66           122                 1245.89
65.19                            7.64           125                 1245.89
65.19                            7.66           124                 1217.71
65.19                            7.60           120                 1217.71
65.19                            7.55           124                 1189.31
65.19                            7.64           122                 1189.31
65.19                            7.54           124                 1189.31
65.19                            7.50           125                 1189.31
65.19                            7.50           124                 1189.31
65.30                            7.47           122                 1189.31
65.19                            7.38           125                 1189.31
65.19                            7.33           125                 1189.31
65.19                            7.33           120                 1160.68
65.19                            7.38           122                 1160.68
65.19                            7.37           124                 1160.68
65.19                            7.30           125                 1160.68
65.19                            7.40           125                 1160.68
65.19                            7.37           120                 1160.68
65.19                            7.38           124                 1160.68
65.19                            7.40           125                 1160.68
65.19                            7.37           127                 1160.68
65.19                            7.35           124                 1160.68
65.19                            7.40           120                 1160.68
65.19                            7.40           125                 1160.68
65.19                            7.38           125                 1160.68
65.19                            7.38           127                 1189.31
65.19                            7.33           124                 1189.31
65.30                            7.33           124                 1189.31
65.19                            7.35           127                 1189.31
65.19                            7.52           125                 1189.31
65.19                            7.60           124                 1189.31
65.19                            7.38           124                 1189.31
65.19                            7.37           124                 1189.31
65.19                            7.37           127                 1189.31
65.19                            7.45           129                 1189.31
65.19                            7.55           122                 1189.31
65.19                            7.57           125                 1189.31
65.19                            7.59           129                 1189.31
65.19                            7.59           129                 1189.31
65.19                            7.60           127                 1189.31
65.19                            7.64           124                 1189.31
65.19                            7.54           124                 1189.31
65.30                            7.60           127                 1189.31
65.30                            7.59           127                 1217.71
65.19                            7.60           125                 1217.71
65.19                            7.43           124                 1217.71
65.19                            7.37           125                 1217.71
65.19                            7.35           127                 1217.71
65.19                            7.30           127                 1217.71
65.19                            7.30           125                 1217.71
65.30                            7.38           125                 1217.71
65.19                            7.43           127                 1217.71
65.19                            7.38           129                 1189.31
65.19                            7.42           125                 1217.71
65.19                            7.45           125                 1217.71
65.19                            7.50           125                 1217.71
65.19                            7.52           129                 1217.71
65.19                            7.40           129                 1217.71
65.19                            7.31           124                 1217.71
65.19                            7.28           125                 1217.71
65.19                            7.33           127                 1217.71
65.19                            7.30           129                 1217.71
65.19                            7.25           122                 1217.71
65.30                            7.26           127                 1217.71
65.30                            7.26           125                 1217.71
65.30                            7.31           127                 1217.71
65.41                            7.50           127                 1217.71
65.19                            7.50           127                 1217.71
65.19                            7.49           122                 1245.89
65.30                            7.50           125                 1245.89
65.19                            7.52           127                 1245.89
65.19                            7.28           125                 1217.71
65.19                            7.25           125                 1356.38
65.30                            7.45           124                 1356.38
65.30                            7.47           129                 1383.44
65.30                            7.33           125                 1329.09
65.30                            7.28           124                 1329.09
65.30                            7.30           124                 1329.09
65.30                            7.28           125                 1329.09
65.30                            7.28           127                 1329.09
65.19                            7.25           127                 1329.09
65.30                            7.37           127                 1329.09
65.19                            7.47           125                 1329.09
65.30                            7.49           127                 1329.09
65.30                            7.43           125                 1301.58
65.30                            7.45           124                 1301.58
65.30                            7.45           125                 1301.58
65.30                            7.47           127                 1301.58
65.30                            7.45           127                 1301.58
65.30                            7.50           131                 1301.58
65.30                            7.50           124                 1301.58
65.41                            7.52           124                 1301.58
65.30                            7.50           125                 1301.58
65.30                            7.28           127                 1301.58
65.30                            7.25           124                 1301.58
65.19                            7.26           125                 1301.58
65.30                            7.47           127                 1301.58
65.30                            7.50           125                 1217.71
